acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.58,0.71,0.4,0.72,0.32,1.86
-0.58,0.7,0.4,0.84,0.5,1.82
-0.57,0.7,0.39,0.69,0.98,1.89
-0.57,0.7,0.41,0.38,1.37,1.6
-0.57,0.7,0.4,0.06,1.3,1.59
-0.57,0.7,0.4,-0.09,0.93,1.56
-0.56,0.7,0.4,0.02,0.76,1.88
-0.57,0.7,0.4,0.15,1.1,1.73
-0.56,0.71,0.41,0.05,1.53,1.42
-0.56,0.71,0.39,-0.29,0.53,1.3
-0.57,0.72,0.4,0.12,0.02,1.48
-0.56,0.71,0.4,0.05,-0.2,2.31
-0.56,0.72,0.39,0.18,0.24,2.17
-0.57,0.71,0.4,0.43,0.87,1.62
-0.57,0.7,0.4,0.53,0.79,1.51
-0.57,0.7,0.4,0.31,0.52,1.53
-0.57,0.7,0.4,0.23,0.52,1.65
-0.56,0.71,0.4,0.44,0.81,1.28
-0.56,0.71,0.4,0.18,0.85,1.22
-0.57,0.7,0.4,0.4,0.9,1.31
-0.57,0.7,0.4,0.24,0.85,1.45
-0.56,0.71,0.4,-0.02,0.78,1.5
-0.57,0.71,0.4,-0.08,0.56,1.56
-0.57,0.7,0.41,-0.21,0.7,1.48
-0.57,0.7,0.41,0.09,0.63,1.48
-0.56,0.71,0.39,0.05,0.53,1.45
-0.57,0.71,0.4,0.34,0.56,1.56
-0.57,0.71,0.4,0.6,0.92,1.45
-0.57,0.7,0.4,0.43,1.15,1.5
-0.57,0.71,0.41,0.35,1.36,1.53
-0.57,0.71,0.4,0.61,1.27,1.28
-0.57,0.7,0.4,0.81,1.76,1.18
-0.57,0.7,0.39,0.58,1.76,0.81
-0.57,0.71,0.4,0.53,1.57,0.89
-0.57,0.71,0.4,0.4,1.16,0.69
-0.57,0.71,0.4,0.52,0.84,0.72
-0.57,0.71,0.4,0.46,0.75,0.67
-0.57,0.71,0.4,0.35,0.84,0.84
-0.58,0.71,0.39,0.55,1.33,1.18
-0.56,0.71,0.4,0.85,1.59,1.3
-0.58,0.71,0.4,0.66,1.73,1.18
-0.57,0.7,0.4,0.44,1.68,1.08
-0.57,0.7,0.4,0.21,1.45,0.96
-0.57,0.71,0.39,0.43,1.37,1.11
-0.56,0.7,0.4,0.63,1.69,1.1
-0.57,0.71,0.39,0.72,2.14,1.04
-0.56,0.71,0.4,0.47,2.17,1.3
-0.56,0.7,0.4,0.24,2.05,1.4
-0.57,0.71,0.4,0.31,1.65,1.68
-0.57,0.7,0.4,0.46,1.36,1.34
-0.57,0.71,0.4,0.5,1.33,1.5
-0.56,0.71,0.39,0.47,1.51,1.45
-0.57,0.7,0.4,0.24,1.15,1.33
-0.57,0.7,0.39,0.61,1.19,1.39
-0.57,0.71,0.39,0.53,1.25,1.37
-0.57,0.7,0.4,0.76,1.57,1.77
-0.57,0.71,0.4,0.53,1.65,1.51
-0.57,0.71,0.39,0.84,2.17,1.57
-0.57,0.71,0.4,0.73,2.15,1.59
-0.57,0.7,0.39,0.5,2.06,1.31
-0.57,0.71,0.4,0.52,2.09,1.28
-0.57,0.71,0.4,0.69,2.08,1.11
-0.57,0.7,0.39,0.6,1.65,0.89
-0.57,0.71,0.39,0.46,1.07,0.92
-0.57,0.71,0.4,0.31,1.18,0.98
-0.57,0.71,0.4,0.31,0.7,0.75
-0.57,0.71,0.4,0.23,0.82,0.99
-0.57,0.71,0.4,0.09,0.78,0.93
-0.57,0.71,0.4,0.18,0.61,1.04
-0.57,0.7,0.39,0.35,0.7,0.92
-0.58,0.7,0.4,0.4,0.69,0.93
-0.57,0.7,0.39,0.64,0.76,0.75
-0.57,0.71,0.38,0.63,0.52,0.72
-0.57,0.7,0.4,0.81,0.64,0.56
-0.57,0.7,0.4,1.05,1.05,0.63
-0.57,0.7,0.39,0.73,1.48,0.87
-0.57,0.71,0.39,0.76,1.88,0.81
-0.57,0.71,0.4,0.47,2.0,0.84
-0.57,0.71,0.4,0.53,1.36,0.79
-0.57,0.71,0.4,0.87,1.13,0.79
-0.57,0.71,0.4,1.02,1.6,0.73
-0.57,0.7,0.4,0.55,1.44,0.82
-0.57,0.7,0.4,0.6,1.79,1.15
-0.58,0.7,0.4,0.55,1.66,0.84
-0.58,0.71,0.39,0.61,1.3,0.85
-0.58,0.71,0.39,0.79,1.68,1.13
-0.58,0.71,0.38,0.84,3.05,1.89
-0.57,0.7,0.4,0.7,4.03,2.69
-0.57,0.7,0.4,0.75,4.76,2.23
-0.58,0.69,0.41,-0.14,3.86,1.18
-0.58,0.69,0.4,-0.96,2.18,0.76
-0.57,0.71,0.4,-1.1,0.95,0.79
-0.57,0.72,0.4,-0.84,0.14,0.93
-0.56,0.72,0.4,-0.43,0.02,1.1
-0.56,0.71,0.38,0.03,0.38,1.07
-0.56,0.7,0.4,0.41,1.02,1.44
-0.57,0.71,0.4,0.29,0.38,1.4
-0.57,0.7,0.39,0.58,0.08,1.6
-0.58,0.7,0.39,0.96,-0.02,1.71
-0.57,0.7,0.38,1.97,1.15,2.72
-0.57,0.7,0.39,2.17,3.88,3.19
-0.58,0.71,0.39,1.98,4.09,2.89
-0.58,0.71,0.39,1.92,3.11,2.72
-0.57,0.71,0.39,1.27,1.57,3.21
-0.57,0.71,0.39,0.84,1.11,2.82
-0.58,0.71,0.39,1.01,1.82,2.5
-0.57,0.69,0.38,0.78,3.28,2.69
-0.57,0.7,0.39,0.38,4.38,3.01
-0.57,0.71,0.39,-0.56,3.82,3.01
-0.58,0.71,0.4,-0.64,2.6,3.15
