acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.55,0.39,0.69,0.58,1.73,1.85
-0.55,0.38,0.7,0.66,2.55,2.11
-0.55,0.38,0.7,0.64,2.89,1.57
-0.56,0.38,0.69,0.35,2.21,1.08
-0.55,0.38,0.7,0.75,1.56,1.19
-0.55,0.39,0.7,0.92,1.04,0.96
-0.55,0.39,0.7,0.85,1.01,0.61
-0.55,0.39,0.7,0.67,0.98,0.11
-0.55,0.38,0.69,0.52,1.62,0.49
-0.55,0.39,0.7,0.67,2.09,1.42
-0.54,0.4,0.7,0.72,3.19,1.63
-0.54,0.38,0.7,0.46,2.99,1.24
-0.54,0.38,0.7,0.27,2.43,0.72
-0.54,0.39,0.69,0.55,1.79,0.66
-0.54,0.39,0.7,0.66,1.57,0.85
-0.55,0.38,0.7,0.84,1.91,0.6
-0.55,0.39,0.71,0.38,2.0,0.46
-0.55,0.39,0.7,0.37,1.63,0.55
-0.55,0.39,0.7,0.67,1.56,0.76
-0.55,0.38,0.7,0.6,1.39,0.67
-0.54,0.39,0.7,0.47,1.59,0.76
-0.54,0.39,0.7,0.41,1.51,0.9
-0.55,0.39,0.69,0.66,1.77,1.24
-0.55,0.39,0.7,0.66,1.89,1.33
-0.55,0.39,0.7,0.75,2.15,1.42
-0.55,0.38,0.69,0.66,2.14,1.74
-0.54,0.38,0.7,0.55,2.03,1.34
-0.55,0.39,0.7,0.69,1.68,1.08
-0.55,0.39,0.69,0.64,1.19,1.1
-0.55,0.39,0.7,0.7,1.44,1.34
-0.55,0.39,0.7,0.78,1.97,1.44
-0.55,0.39,0.69,0.64,2.38,1.66
-0.55,0.39,0.7,0.35,2.32,1.34
-0.55,0.39,0.7,0.49,1.91,1.3
-0.55,0.39,0.69,0.37,1.68,1.25
-0.55,0.39,0.69,0.18,1.6,0.78
-0.55,0.39,0.69,0.06,1.71,0.55
-0.55,0.38,0.7,0.31,1.13,0.47
-0.55,0.38,0.7,0.31,0.81,0.4
-0.55,0.38,0.68,0.46,1.25,0.7
-0.55,0.39,0.7,0.29,1.88,0.96
-0.54,0.38,0.69,0.14,1.65,0.81
-0.55,0.38,0.7,0.47,1.28,0.75
-0.56,0.39,0.69,0.66,0.85,0.92
-0.56,0.39,0.69,0.6,0.95,0.79
-0.55,0.38,0.7,0.29,1.28,0.99
-0.55,0.38,0.7,0.4,1.22,1.02
-0.55,0.38,0.7,0.64,1.3,1.08
-0.55,0.38,0.69,0.81,1.04,1.25
-0.55,0.38,0.7,0.46,0.89,1.11
-0.55,0.39,0.69,0.27,0.76,1.05
-0.55,0.39,0.7,0.85,0.87,1.18
-0.55,0.39,0.69,1.37,1.77,1.04
-0.55,0.39,0.69,1.83,2.96,1.18
-0.56,0.38,0.69,0.63,3.19,1.36
-0.55,0.38,0.69,0.09,2.35,1.4
-0.54,0.38,0.69,-0.21,0.11,0.79
-0.56,0.39,0.69,1.18,-2.63,-0.34
-0.56,0.41,0.69,3.31,-2.32,-0.26
-0.57,0.4,0.69,1.56,0.64,1.95
-0.57,0.39,0.69,-2.03,5.07,5.6
-0.54,0.36,0.71,-2.61,9.5,7.86
-0.53,0.35,0.71,-1.77,9.77,6.64
-0.53,0.36,0.71,-0.34,4.27,3.05
-0.54,0.39,0.7,1.15,-3.42,-0.61
-0.55,0.4,0.7,1.83,-7.21,-1.6
-0.56,0.41,0.7,1.94,-5.01,0.17
-0.56,0.41,0.68,0.92,0.81,2.95
-0.55,0.4,0.69,0.21,5.36,5.39
-0.55,0.39,0.7,0.17,5.83,6.03
-0.55,0.37,0.69,1.07,3.45,4.7
-0.55,0.38,0.7,2.46,0.78,2.92
-0.55,0.39,0.7,2.69,-0.47,1.54
-0.55,0.39,0.7,2.44,-0.52,1.15
-0.56,0.39,0.69,1.94,0.4,1.51
-0.56,0.39,0.7,1.76,1.51,2.12
-0.56,0.39,0.7,1.69,2.31,2.72
-0.56,0.4,0.69,1.34,2.14,3.11
-0.56,0.39,0.7,1.02,2.56,3.24
-0.55,0.39,0.69,0.56,3.65,3.24
-0.55,0.39,0.69,-0.08,3.34,2.4
-0.55,0.39,0.68,1.34,1.74,0.41
-0.55,0.39,0.68,2.32,-0.95,-0.44
-0.55,0.4,0.68,1.1,-2.15,0.17
-0.55,0.4,0.69,0.85,0.03,1.77
-0.54,0.4,0.69,-0.27,2.64,2.49
-0.54,0.39,0.7,0.24,4.24,2.69
-0.54,0.39,0.7,0.49,3.11,2.23
-0.54,0.39,0.69,0.73,0.64,1.37
-0.55,0.39,0.68,1.37,0.29,1.6
-0.55,0.4,0.69,1.19,1.65,2.21
-0.55,0.4,0.7,0.24,2.46,2.21
-0.55,0.39,0.69,0.17,2.12,2.15
-0.56,0.39,0.69,0.73,1.53,2.08
-0.55,0.39,0.69,0.75,2.29,2.08
-0.56,0.39,0.69,0.73,3.01,1.73
-0.56,0.39,0.68,0.84,3.16,1.5
-0.56,0.39,0.69,1.6,3.22,2.26
-0.56,0.4,0.68,1.18,3.48,2.5
-0.56,0.41,0.68,0.95,3.98,2.78
-0.56,0.4,0.68,1.37,4.89,3.66
-0.55,0.4,0.69,1.3,6.12,4.64
-0.55,0.39,0.69,0.96,6.47,4.35
-0.55,0.39,0.69,1.11,5.6,3.85
-0.55,0.4,0.69,1.25,3.94,2.89
-0.55,0.4,0.68,1.95,1.89,2.17
-0.55,0.39,0.68,1.76,1.19,1.73
-0.56,0.39,0.69,0.6,0.44,1.01
-0.57,0.39,0.68,0.84,0.95,1.51
-0.55,0.4,0.68,1.8,1.59,1.27
-0.56,0.39,0.67,1.73,1.01,0.24
-0.57,0.39,0.68,1.3,0.12,0.35
-0.56,0.4,0.69,0.5,1.08,1.19
-0.56,0.4,0.69,0.5,2.18,0.96
-0.57,0.4,0.68,1.53,3.3,1.39
-0.55,0.4,0.68,1.83,4.78,3.4
-0.55,0.39,0.67,1.79,5.85,3.5
-0.56,0.41,0.68,2.32,6.47,2.99
-0.56,0.4,0.69,1.94,6.87,3.94
-0.57,0.4,0.69,1.47,8.14,6.52
-0.55,0.39,0.68,6.66,13.21,13.19
-0.55,0.4,0.68,7.62,19.45,17.73
-0.55,0.41,0.67,7.01,22.15,15.91
-0.55,0.42,0.65,6.08,19.21,12.81
-0.57,0.4,0.66,5.21,15.74,12.38
-0.55,0.41,0.66,7.53,16.34,16.12
-0.55,0.41,0.69,8.08,19.56,20.06
-0.55,0.41,0.69,7.47,18.0,17.71
-0.56,0.41,0.65,9.47,12.32,12.2
-0.57,0.43,0.64,10.38,4.17,8.5
-0.58,0.43,0.65,9.48,-2.05,6.87
-0.6,0.45,0.63,7.25,-5.91,8.11
-0.56,0.42,0.62,7.71,-4.53,20.75
-0.56,0.48,0.63,-1.11,-6.99,21.53
-0.5,0.49,0.74,-5.65,-9.39,32.89
-0.35,0.54,0.59,-0.12,10.26,52.14
-0.46,0.44,0.71,-3.89,5.91,48.02
-0.58,0.38,0.66,5.8,-11.86,30.05
-0.54,0.38,0.54,14.58,-23.24,35.44
-0.52,0.48,0.47,14.47,-24.43,48.73
-0.46,0.44,0.59,12.46,-15.88,65.95
-0.45,0.42,0.67,17.82,2.32,87.45
-0.47,0.5,0.68,26.53,19.44,98.63
-0.5,0.46,0.75,36.18,20.08,97.73
-0.59,0.41,0.69,43.92,8.31,91.69
-0.53,0.45,0.62,53.73,9.25,109.73
-0.53,0.5,0.77,41.01,7.19,110.75
-0.64,0.58,0.61,21.71,-9.89,75.56
-0.65,0.58,0.58,21.57,-16.11,53.13
-0.67,0.59,0.67,5.65,-8.05,47.82
-0.55,0.6,0.61,-3.05,4.24,37.21
-0.47,0.57,0.65,0.08,12.47,27.39
-0.48,0.57,0.62,-5.57,3.07,10.7
-0.49,0.53,0.62,-3.27,-7.47,-0.34
-0.51,0.59,0.6,-14.17,-12.21,-13.54
-0.5,0.58,0.61,-12.79,-9.13,-20.99
-0.49,0.58,0.61,-15.54,-4.95,-33.91
-0.48,0.59,0.7,-12.66,-1.59,-43.3
-0.49,0.58,0.65,-15.04,-3.79,-54.99
-0.51,0.57,0.69,-21.07,-11.39,-66.89
-0.46,0.56,0.69,-20.99,-14.85,-70.14
