acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.32,0.47,0.8,0.21,0.47,1.85
0.32,0.46,0.81,-0.05,0.64,1.34
0.32,0.46,0.81,0.02,0.9,0.78
0.32,0.46,0.8,-0.05,0.89,0.52
0.31,0.46,0.82,-0.18,0.96,0.23
0.31,0.46,0.81,-0.53,0.76,0.03
0.31,0.46,0.81,-0.56,0.69,0.05
0.31,0.46,0.81,-0.87,0.72,0.12
0.32,0.46,0.82,-0.89,0.81,0.18
0.32,0.46,0.82,-0.56,0.6,0.34
0.31,0.46,0.82,-0.46,0.53,0.66
0.31,0.46,0.81,0.03,0.85,1.27
0.31,0.45,0.82,0.14,0.61,1.4
0.32,0.45,0.82,0.34,0.87,1.73
0.31,0.45,0.81,0.35,0.53,1.82
0.32,0.45,0.81,0.24,0.56,1.57
0.31,0.46,0.8,0.38,0.46,1.1
0.32,0.47,0.81,0.17,-0.15,1.3
0.32,0.47,0.8,0.0,-0.23,1.69
0.32,0.46,0.81,0.0,0.49,1.56
0.32,0.45,0.81,-1.27,0.85,1.27
0.31,0.45,0.81,-1.07,0.79,0.81
0.31,0.45,0.82,-1.16,0.18,0.64
0.31,0.45,0.81,-0.99,-0.31,0.96
0.32,0.45,0.81,-1.1,-0.29,0.87
0.32,0.45,0.81,-0.95,0.03,1.08
0.32,0.46,0.81,-1.18,0.2,1.08
0.32,0.46,0.82,-1.16,0.43,1.15
0.33,0.45,0.81,-0.81,0.53,1.21
0.32,0.45,0.81,-0.34,0.73,1.44
0.32,0.46,0.81,-0.2,0.84,1.57
0.31,0.46,0.82,-0.34,0.52,1.39
0.32,0.45,0.82,-0.37,0.49,1.34
0.32,0.45,0.81,-0.43,0.5,1.48
0.32,0.46,0.82,-0.29,0.7,1.25
0.33,0.46,0.81,-0.34,0.84,1.16
0.32,0.46,0.82,-0.31,0.75,0.92
0.32,0.46,0.81,-0.56,0.72,0.9
0.32,0.45,0.81,-0.37,0.6,0.75
0.32,0.45,0.82,-0.21,0.72,0.9
0.32,0.45,0.81,-0.4,0.37,0.79
0.32,0.45,0.82,-0.69,0.64,0.58
0.32,0.46,0.81,-0.58,0.55,0.56
0.32,0.45,0.8,-0.58,0.76,0.52
0.31,0.45,0.82,-0.46,0.81,0.55
0.31,0.46,0.82,-0.55,0.69,0.7
0.31,0.45,0.82,-0.38,0.84,0.41
0.32,0.45,0.82,-0.23,0.81,0.47
0.31,0.45,0.81,-0.26,1.01,0.63
0.31,0.45,0.82,-0.52,0.89,0.72
0.32,0.46,0.82,-0.06,1.05,0.93
0.31,0.45,0.81,0.12,1.02,1.08
0.32,0.45,0.82,0.03,1.18,1.31
0.31,0.45,0.81,0.12,0.78,1.19
0.32,0.45,0.81,0.4,0.78,1.4
0.32,0.45,0.82,0.18,0.95,1.51
0.32,0.45,0.82,0.26,0.81,1.31
0.32,0.45,0.82,0.29,0.9,1.34
0.31,0.46,0.81,0.03,0.64,1.19
0.32,0.47,0.82,-0.18,0.85,1.11
0.31,0.46,0.81,-0.24,0.79,0.98
0.32,0.46,0.82,-0.14,1.01,0.76
0.31,0.46,0.81,-0.21,0.6,0.53
0.32,0.45,0.82,-0.38,0.9,0.56
0.32,0.45,0.83,-0.56,0.98,0.58
0.32,0.46,0.82,-0.44,0.69,0.47
0.32,0.45,0.81,-0.08,0.75,0.55
0.32,0.45,0.82,-0.43,0.75,0.72
0.32,0.45,0.81,-0.15,0.52,1.07
0.31,0.45,0.82,0.08,0.47,1.19
0.31,0.45,0.82,0.18,0.23,1.18
0.31,0.44,0.82,0.09,0.56,1.25
0.31,0.45,0.81,0.37,0.44,1.48
0.32,0.45,0.82,0.53,0.44,1.48
0.32,0.45,0.81,0.56,0.37,1.56
0.31,0.45,0.81,0.46,0.47,1.62
0.31,0.45,0.8,0.85,0.6,1.68
0.31,0.46,0.81,1.04,0.93,1.4
0.32,0.46,0.81,1.08,0.93,1.71
0.32,0.46,0.82,0.66,1.19,1.56
0.32,0.46,0.82,0.66,1.44,1.27
0.31,0.45,0.82,0.58,0.76,1.18
0.31,0.45,0.81,0.26,0.73,1.37
0.31,0.45,0.81,0.73,0.98,1.44
0.29,0.45,0.82,1.24,0.46,1.21
0.31,0.46,0.81,2.08,0.34,2.31
0.31,0.45,0.82,2.31,1.79,2.81
0.32,0.43,0.8,2.79,2.67,2.69
0.32,0.43,0.82,3.07,2.49,3.3
