acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.59,0.67,0.41,0.37,2.18,1.37
-0.59,0.68,0.42,0.47,2.17,1.1
-0.58,0.67,0.42,0.92,1.94,1.1
-0.59,0.68,0.42,1.13,2.27,0.89
-0.59,0.68,0.42,1.39,1.83,0.67
-0.59,0.68,0.42,1.27,1.27,0.72
-0.59,0.68,0.42,1.28,0.84,0.6
-0.59,0.67,0.42,1.53,1.07,0.7
-0.59,0.68,0.41,1.47,0.85,0.55
-0.59,0.68,0.42,1.6,0.96,0.5
-0.59,0.68,0.41,1.68,0.99,0.58
-0.6,0.68,0.41,1.45,1.05,0.84
-0.59,0.67,0.43,1.04,1.04,0.95
-0.59,0.67,0.42,0.78,0.76,1.24
-0.58,0.67,0.42,0.75,0.85,1.27
-0.59,0.67,0.43,0.63,0.67,1.1
-0.59,0.68,0.41,0.53,1.22,1.15
-0.58,0.68,0.41,0.46,1.5,1.31
-0.58,0.67,0.42,0.61,1.47,1.31
-0.59,0.67,0.42,0.73,1.69,1.34
-0.59,0.67,0.42,0.85,1.89,1.31
-0.59,0.68,0.42,0.73,1.5,1.05
-0.59,0.68,0.41,0.95,1.57,1.02
-0.59,0.67,0.42,0.92,1.28,1.11
-0.59,0.68,0.41,0.98,1.39,0.98
-0.59,0.68,0.42,0.7,1.13,0.98
-0.59,0.67,0.41,0.82,1.05,1.21
-0.59,0.67,0.42,0.72,0.61,1.07
-0.59,0.68,0.42,0.67,0.55,1.02
-0.59,0.68,0.41,0.7,0.81,0.95
-0.59,0.68,0.42,0.75,0.92,1.07
-0.59,0.68,0.41,0.89,0.85,1.24
-0.59,0.67,0.42,0.55,0.72,1.01
-0.59,0.67,0.41,0.55,0.7,1.01
-0.59,0.68,0.41,0.53,0.82,1.18
-0.59,0.68,0.41,0.41,1.08,0.9
-0.59,0.68,0.41,0.29,0.84,0.81
-0.59,0.67,0.41,0.17,0.63,0.87
-0.59,0.67,0.42,0.35,0.66,0.76
-0.59,0.67,0.41,0.37,0.37,0.64
-0.59,0.68,0.42,0.18,0.15,0.43
-0.58,0.68,0.42,0.32,-0.26,0.47
-0.59,0.68,0.42,0.41,-0.09,0.6
-0.59,0.68,0.42,0.75,0.05,0.92
-0.59,0.68,0.42,1.15,0.56,0.96
-0.6,0.67,0.42,1.18,1.05,0.93
-0.6,0.67,0.41,1.01,1.36,1.21
-0.59,0.67,0.41,0.85,1.39,0.96
-0.59,0.67,0.41,0.58,1.24,0.84
-0.6,0.68,0.4,0.99,1.77,1.07
-0.59,0.67,0.4,1.3,3.63,1.92
-0.59,0.68,0.41,1.53,6.18,3.15
-0.59,0.67,0.41,1.88,8.24,3.97
-0.59,0.66,0.41,1.42,9.57,3.13
-0.59,0.66,0.43,1.04,8.56,2.35
-0.59,0.67,0.43,0.37,6.12,1.63
-0.58,0.67,0.41,0.46,3.83,1.47
-0.59,0.68,0.41,0.9,3.4,1.88
-0.59,0.68,0.41,1.45,4.56,2.18
-0.58,0.69,0.42,1.48,4.85,1.4
-0.59,0.69,0.41,1.4,4.12,1.07
-0.59,0.67,0.4,2.06,3.36,1.79
-0.59,0.69,0.4,1.97,2.75,1.94
-0.6,0.69,0.41,1.6,2.05,1.18
-0.6,0.69,0.4,1.79,1.28,0.92
-0.6,0.67,0.4,2.43,2.29,1.79
-0.6,0.68,0.41,1.77,2.49,2.23
-0.59,0.68,0.41,1.22,2.29,2.12
-0.59,0.69,0.41,1.33,1.44,1.66
-0.6,0.68,0.41,1.16,0.38,1.85
-0.6,0.68,0.41,0.69,-0.26,1.57
-0.6,0.68,0.41,-0.27,-0.31,1.24
-0.6,0.67,0.41,-1.16,-1.18,0.72
-0.6,0.68,0.41,-1.89,-2.99,0.38
-0.59,0.68,0.42,-2.06,-4.31,0.0
-0.59,0.68,0.41,-2.79,-5.31,-0.35
-0.58,0.66,0.4,-1.65,-4.53,0.06
-0.58,0.67,0.39,-1.11,-2.14,1.33
-0.59,0.68,0.41,-0.99,-0.46,2.09
-0.59,0.68,0.4,-0.34,0.75,1.91
-0.59,0.67,0.41,-0.15,0.47,1.6
-0.59,0.67,0.41,0.15,0.05,1.59
-0.59,0.68,0.41,0.03,-0.43,1.51
-0.59,0.68,0.41,0.26,-0.67,1.6
-0.6,0.67,0.41,0.56,-0.03,1.83
-0.59,0.68,0.41,0.89,0.05,2.23
-0.59,0.68,0.41,1.28,0.76,2.29
-0.59,0.68,0.4,1.51,1.31,1.82
-0.59,0.67,0.42,1.77,1.13,1.94
-0.59,0.67,0.41,1.73,1.6,1.51
-0.59,0.66,0.41,2.31,2.03,1.47
-0.59,0.67,0.41,2.53,2.85,2.81
-0.58,0.68,0.42,2.03,2.03,3.56
-0.58,0.67,0.41,2.37,2.34,2.99
-0.58,0.68,0.41,2.79,2.2,1.76
-0.6,0.68,0.4,3.53,2.29,0.43
-0.6,0.68,0.4,3.37,2.18,-0.03
-0.6,0.68,0.4,3.42,2.09,-0.27
-0.6,0.68,0.4,2.5,2.23,-0.09
-0.59,0.69,0.41,1.68,1.53,-0.32
-0.59,0.69,0.4,0.93,0.79,-0.24
-0.59,0.68,0.41,0.37,1.02,0.03
-0.59,0.68,0.41,0.53,1.08,-1.19
-0.59,0.68,0.41,0.41,1.39,-1.42
-0.57,0.67,0.41,0.75,1.66,1.21
-0.57,0.68,0.43,-1.05,2.23,3.31
-0.59,0.67,0.41,-0.47,1.86,-0.09
-0.63,0.67,0.38,1.74,1.65,-2.73
-0.62,0.66,0.38,-0.24,2.05,-1.73
-0.6,0.67,0.39,-1.37,3.56,-1.59
-0.6,0.68,0.39,-1.22,4.35,-2.93
-0.6,0.68,0.39,-1.53,3.07,-3.15
-0.59,0.67,0.41,-1.91,1.6,-1.66
-0.59,0.68,0.41,-1.57,0.7,-0.7
-0.58,0.69,0.4,-1.92,-0.05,-0.46
-0.57,0.68,0.42,-3.22,-0.95,0.89
-0.59,0.68,0.42,-3.73,-2.84,0.6
-0.59,0.67,0.41,-3.85,-4.87,1.5
-0.59,0.66,0.41,-3.47,-5.8,2.08
-0.59,0.68,0.43,-3.28,-4.93,1.5
-0.6,0.68,0.41,-3.76,-3.65,0.23
-0.59,0.67,0.42,-3.82,-3.22,2.2
-0.59,0.69,0.42,-4.93,-4.26,2.43
-0.58,0.68,0.4,-5.11,-5.02,1.92
-0.59,0.68,0.41,-6.4,-6.34,1.27
-0.61,0.68,0.4,-7.08,-6.09,1.6
-0.59,0.66,0.4,-8.21,-4.98,3.79
-0.58,0.66,0.41,-8.7,-3.5,5.02
-0.57,0.64,0.4,-6.37,-0.24,6.06
-0.56,0.64,0.41,-5.33,2.63,7.63
-0.57,0.64,0.41,-4.73,6.12,11.11
-0.55,0.66,0.46,-5.11,6.47,16.15
-0.53,0.65,0.49,-3.25,7.3,20.46
-0.52,0.67,0.48,-1.89,2.87,24.34
-0.53,0.68,0.45,0.31,-5.27,28.69
-0.52,0.68,0.41,0.69,-11.89,35.62
-0.51,0.66,0.41,-1.94,-20.47,44.92
-0.49,0.66,0.38,-2.87,-27.1,52.26
