acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.3,0.44,0.83,0.05,-0.34,2.02
0.3,0.44,0.82,-0.03,-0.02,1.8
0.3,0.43,0.84,-0.34,0.08,0.95
0.3,0.43,0.83,-0.06,0.03,0.5
0.3,0.43,0.82,-0.08,0.58,-0.06
0.29,0.42,0.84,0.02,0.55,-0.35
0.28,0.43,0.84,-0.29,0.69,-0.67
0.28,0.42,0.84,-0.26,0.66,-0.47
0.28,0.43,0.84,-0.37,0.87,-0.12
0.28,0.43,0.85,-0.72,0.56,0.27
0.28,0.42,0.85,-0.14,0.69,0.72
0.29,0.42,0.85,0.24,0.75,0.98
0.28,0.42,0.84,0.84,0.73,2.02
0.28,0.42,0.84,1.19,0.79,2.37
0.29,0.42,0.84,1.31,0.78,2.46
0.29,0.42,0.84,1.56,0.72,2.76
0.3,0.43,0.84,0.9,0.55,2.49
0.29,0.43,0.84,0.98,0.49,2.08
0.28,0.43,0.84,0.53,0.2,1.73
0.29,0.44,0.83,0.4,-0.08,1.4
0.29,0.44,0.83,-0.05,0.29,0.81
0.29,0.43,0.83,-0.76,0.76,-0.05
0.29,0.42,0.84,-1.28,0.53,-0.44
0.29,0.42,0.85,-1.24,0.41,-0.72
0.29,0.42,0.84,-1.54,0.18,-0.63
0.29,0.43,0.84,-1.28,0.56,-0.52
0.28,0.42,0.84,-1.4,0.06,-0.38
0.29,0.42,0.84,-1.1,0.27,0.12
0.29,0.42,0.84,-0.85,0.24,0.82
0.29,0.41,0.84,-0.29,-0.06,1.54
0.29,0.41,0.84,0.37,0.12,1.91
0.29,0.42,0.85,0.78,-0.06,2.46
0.29,0.41,0.84,1.13,-0.11,2.92
0.29,0.42,0.84,1.24,-0.17,2.95
0.29,0.42,0.84,1.45,-0.11,3.04
0.29,0.43,0.83,1.77,0.03,3.34
0.29,0.43,0.84,1.66,0.12,2.81
0.3,0.43,0.83,1.83,0.21,2.46
0.29,0.43,0.84,1.71,0.27,2.46
0.3,0.43,0.83,1.82,0.32,2.11
0.29,0.43,0.84,1.66,0.43,1.85
0.29,0.43,0.83,1.53,0.18,1.44
0.29,0.43,0.84,1.24,0.38,1.02
0.29,0.42,0.84,1.22,0.52,1.02
0.29,0.43,0.83,1.02,0.52,0.75
0.29,0.43,0.84,0.76,0.72,0.61
0.29,0.43,0.84,0.72,0.7,0.81
0.29,0.42,0.85,0.7,0.61,0.85
0.29,0.42,0.84,0.73,0.76,0.84
0.29,0.42,0.84,0.89,0.6,1.13
0.29,0.43,0.84,0.9,0.72,1.16
0.29,0.43,0.83,1.19,0.56,1.47
0.29,0.42,0.83,1.11,0.78,1.74
0.3,0.43,0.84,1.18,0.64,1.77
0.3,0.43,0.83,1.19,0.69,1.65
0.3,0.43,0.83,1.65,0.75,1.77
0.29,0.43,0.84,1.71,0.89,1.6
0.3,0.43,0.84,1.71,0.85,1.77
0.29,0.43,0.84,1.76,0.73,1.77
0.29,0.43,0.84,1.57,0.75,1.94
0.29,0.43,0.83,1.54,0.75,1.69
0.29,0.43,0.83,1.42,0.49,1.48
0.29,0.44,0.84,1.42,0.6,1.4
0.29,0.43,0.84,1.24,0.69,1.15
0.29,0.44,0.83,1.07,0.5,0.92
0.29,0.43,0.83,0.89,0.6,0.98
0.29,0.43,0.83,0.95,0.87,1.1
0.29,0.43,0.83,0.64,0.92,0.96
0.29,0.43,0.83,0.84,0.95,1.01
0.29,0.42,0.84,1.34,1.04,0.89
0.29,0.43,0.81,2.17,1.62,1.27
0.3,0.43,0.83,1.94,1.65,1.65
0.29,0.43,0.84,1.02,1.19,1.28
0.29,0.43,0.84,0.47,0.29,1.16
0.29,0.43,0.83,0.85,0.35,1.08
0.3,0.43,0.82,1.37,0.92,1.13
0.3,0.43,0.84,1.27,1.31,0.76
0.29,0.44,0.84,1.42,1.57,0.61
0.29,0.43,0.85,1.51,1.42,0.61
0.29,0.43,0.84,0.96,0.96,0.92
0.29,0.43,0.84,1.11,1.11,1.11
0.29,0.43,0.85,0.85,1.24,0.56
0.29,0.44,0.84,0.55,1.3,0.64
0.28,0.44,0.84,1.13,1.57,0.34
0.27,0.43,0.83,2.18,2.32,0.27
0.27,0.44,0.83,2.93,2.03,0.81
0.28,0.43,0.83,4.5,2.37,1.28
0.29,0.43,0.84,4.21,3.53,1.4
0.29,0.41,0.83,4.43,3.02,0.55
0.29,0.42,0.84,4.17,1.79,-0.12
0.29,0.43,0.84,4.03,0.85,-1.42
0.28,0.44,0.82,4.49,-0.5,-2.21
0.29,0.45,0.82,4.69,0.47,-2.17
0.29,0.44,0.8,5.91,1.27,-3.08
0.3,0.45,0.83,5.05,1.66,-4.0
0.29,0.45,0.83,4.52,2.23,-5.48
0.3,0.45,0.83,3.62,1.57,-4.92
0.3,0.44,0.84,3.02,1.33,-4.32
0.3,0.44,0.85,1.89,1.28,-3.74
0.3,0.45,0.85,0.24,1.15,-2.87
0.29,0.45,0.86,-1.04,0.21,-2.09
0.28,0.45,0.85,-1.89,-0.47,-0.67
0.29,0.44,0.84,-2.29,-0.32,0.64
0.28,0.44,0.83,-1.51,-0.05,0.34
0.27,0.43,0.83,-1.16,-0.14,0.89
0.28,0.43,0.82,-0.02,0.46,1.45
0.28,0.45,0.82,0.63,1.16,1.71
0.28,0.43,0.83,1.02,1.31,1.34
0.28,0.43,0.83,0.79,0.66,1.28
0.29,0.44,0.82,1.31,0.23,1.5
0.3,0.44,0.82,1.65,1.33,3.68
0.3,0.46,0.81,0.58,1.1,2.81
0.28,0.47,0.85,-1.59,2.52,0.98
0.26,0.45,0.86,-3.33,1.5,-1.15
0.27,0.43,0.84,-3.56,-0.17,-2.06
0.27,0.44,0.85,-4.37,-0.27,-3.31
0.27,0.45,0.84,-5.34,-1.59,-3.89
0.27,0.44,0.84,-5.65,-2.79,-3.39
0.29,0.43,0.83,-5.15,-2.76,-2.24
0.3,0.44,0.82,-5.11,-3.13,-1.51
0.3,0.45,0.83,-5.33,-2.47,-0.76
0.29,0.44,0.83,-5.24,-2.96,-0.41
0.28,0.43,0.82,-4.41,-3.4,0.47
0.3,0.43,0.82,-3.4,-3.4,2.35
0.31,0.43,0.83,-3.8,-2.58,2.32
0.28,0.43,0.83,-3.6,-2.0,1.48
0.27,0.43,0.81,-3.04,-2.93,1.37
0.29,0.44,0.84,-4.15,-2.69,2.47
0.28,0.43,0.84,-3.97,-2.34,2.73
0.29,0.44,0.84,-4.06,-1.97,2.17
0.29,0.42,0.82,-3.01,-0.96,0.02
0.3,0.42,0.79,-1.59,-0.56,0.85
0.31,0.44,0.83,-1.97,0.37,1.91
0.3,0.42,0.82,-0.11,2.95,1.33
0.28,0.41,0.76,4.38,4.32,1.71
0.32,0.42,0.81,5.24,2.76,4.55
0.35,0.41,0.82,6.64,4.63,6.61
0.35,0.42,0.79,8.38,3.89,11.94
0.31,0.41,0.73,12.44,3.19,12.72
0.35,0.42,0.77,13.69,0.32,15.83
0.32,0.42,0.79,20.5,-2.31,15.62
0.28,0.43,0.75,24.15,-13.8,13.08
0.27,0.47,0.76,23.71,-29.86,10.06
0.31,0.51,0.77,26.93,-27.33,8.79
0.38,0.45,0.88,27.82,-33.24,6.18
0.38,0.41,0.87,26.49,-28.75,4.67
0.24,0.47,0.9,24.78,-28.02,9.44
0.25,0.45,0.97,26.84,-11.65,2.89
0.24,0.44,1.06,18.4,-17.39,16.89
0.21,0.57,1.02,14.7,-2.73,6.06
0.16,0.5,0.96,4.31,-12.15,6.81
0.32,0.47,1.02,-1.57,-9.22,-1.25
0.24,0.51,0.9,-4.15,-8.26,-13.63
0.26,0.47,0.96,-4.05,-4.44,-18.87
0.28,0.46,0.94,-3.45,0.34,-20.5
0.34,0.45,0.89,-2.76,6.5,-19.74
0.35,0.45,0.76,-3.62,9.45,-19.18
0.4,0.47,0.68,-3.98,13.25,-14.6
0.43,0.5,0.67,-7.63,17.73,-11.76
0.41,0.53,0.7,-10.76,13.76,-14.41
0.39,0.51,0.75,-15.63,16.35,-13.25
0.34,0.48,0.77,-18.78,10.99,-11.01
0.34,0.44,0.76,-16.38,9.6,-5.59
0.34,0.44,0.76,-14.52,7.71,-0.93
0.33,0.45,0.77,-13.07,9.11,-0.08
0.33,0.44,0.77,-11.05,6.55,-0.53
0.32,0.45,0.8,-7.76,11.33,-0.32
0.33,0.45,0.81,-7.56,8.27,1.89
0.32,0.44,0.82,-6.81,7.31,2.66
0.3,0.46,0.83,-6.53,8.43,2.12
0.29,0.45,0.84,-6.09,10.18,1.39
0.27,0.45,0.81,-5.37,8.73,2.24
0.28,0.45,0.83,-3.92,8.26,2.37
0.27,0.45,0.83,-3.48,8.02,3.15
0.26,0.45,0.85,-3.54,11.56,2.14
0.27,0.45,0.82,-4.55,7.8,2.56
0.27,0.44,0.81,-4.0,5.3,2.53
0.28,0.44,0.82,-1.48,5.77,3.86
0.28,0.45,0.82,-2.6,2.61,5.95
0.29,0.43,0.81,-0.85,4.78,6.92
0.29,0.42,0.8,-1.63,4.47,7.04
0.3,0.41,0.81,-0.75,4.7,6.26
0.3,0.42,0.82,-1.57,2.0,6.08
0.3,0.44,0.82,-0.92,1.36,5.71
0.3,0.45,0.82,-0.63,1.19,5.02
0.29,0.45,0.81,-0.21,1.39,4.61
