acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.56,0.35,0.71,0.41,1.82,1.4
-0.56,0.36,0.71,0.18,1.91,1.25
-0.56,0.36,0.71,0.31,1.98,1.13
-0.56,0.35,0.71,0.41,1.98,1.04
-0.56,0.36,0.71,0.46,1.86,0.99
-0.56,0.35,0.71,0.47,1.92,1.15
-0.56,0.35,0.7,0.69,2.02,1.6
-0.57,0.35,0.71,0.6,2.2,1.34
-0.56,0.36,0.7,0.85,1.89,1.37
-0.57,0.35,0.69,0.9,1.57,1.37
-0.56,0.35,0.7,0.95,1.91,1.65
-0.56,0.35,0.7,0.92,2.4,1.88
-0.57,0.36,0.71,0.87,2.72,1.92
-0.56,0.36,0.71,0.92,2.4,1.85
-0.57,0.36,0.71,1.05,2.03,2.02
-0.56,0.35,0.71,1.04,1.69,1.6
-0.56,0.36,0.71,1.25,1.74,1.53
-0.56,0.36,0.7,1.05,1.85,1.73
-0.56,0.36,0.7,1.01,1.77,1.56
-0.56,0.36,0.7,0.89,1.66,1.28
-0.56,0.36,0.71,0.87,1.79,1.48
-0.56,0.36,0.7,0.53,2.12,1.39
-0.56,0.36,0.7,0.63,2.29,1.33
-0.56,0.35,0.7,0.79,2.14,1.11
-0.57,0.36,0.7,1.02,1.88,1.01
-0.56,0.36,0.69,1.39,1.97,0.75
-0.57,0.36,0.71,1.3,2.78,0.9
-0.57,0.36,0.69,0.69,3.18,1.4
-0.56,0.35,0.71,0.63,3.79,1.65
-0.57,0.35,0.7,0.52,3.24,1.6
-0.57,0.36,0.69,0.24,0.63,0.63
-0.57,0.37,0.7,2.08,-1.98,-0.31
-0.58,0.37,0.69,2.98,-2.0,0.47
-0.58,0.37,0.69,0.56,1.73,3.71
-0.56,0.35,0.7,-1.51,7.51,6.63
-0.55,0.34,0.71,-1.77,11.21,6.73
-0.55,0.33,0.71,-0.98,8.85,4.21
-0.55,0.34,0.71,0.17,2.17,0.67
-0.55,0.36,0.71,1.3,-3.08,-1.65
-0.57,0.38,0.7,1.57,-3.86,-1.71
-0.56,0.39,0.69,1.08,-0.66,-0.24
-0.57,0.39,0.69,-0.37,3.56,2.08
-0.57,0.37,0.7,-1.11,6.2,3.54
