acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.52,0.42,0.69,0.93,2.75,1.66
-0.53,0.43,0.69,1.01,2.06,1.16
-0.52,0.43,0.7,0.85,1.3,1.19
-0.52,0.42,0.7,1.27,1.79,1.51
-0.52,0.43,0.68,1.47,3.02,2.08
-0.52,0.42,0.7,0.98,4.15,2.23
-0.52,0.43,0.7,1.01,3.85,1.88
-0.52,0.43,0.7,1.11,2.37,1.28
-0.52,0.43,0.69,1.54,1.88,0.31
-0.53,0.43,0.69,1.48,2.52,0.35
-0.54,0.43,0.68,0.79,3.94,1.4
-0.53,0.43,0.7,0.95,5.42,1.92
-0.53,0.42,0.69,0.96,4.75,1.37
-0.53,0.42,0.68,0.76,0.9,0.11
-0.53,0.44,0.68,2.66,-2.06,-0.47
-0.54,0.44,0.68,2.7,-1.24,0.99
-0.53,0.44,0.69,-0.53,4.32,4.44
-0.52,0.42,0.7,-2.69,10.63,6.82
-0.5,0.4,0.71,-2.73,12.56,5.89
-0.51,0.39,0.7,-1.07,7.57,3.15
-0.51,0.42,0.7,0.95,0.12,-0.27
-0.52,0.43,0.7,1.76,-4.31,-1.92
-0.52,0.45,0.69,1.76,-3.3,-1.66
-0.52,0.46,0.69,0.93,1.1,0.35
-0.53,0.46,0.68,-0.05,4.85,2.23
-0.53,0.44,0.69,-0.49,6.05,3.18
-0.53,0.42,0.69,-0.46,4.18,2.85
-0.53,0.42,0.69,0.79,2.15,1.76
-0.54,0.42,0.69,1.48,0.81,0.64
-0.54,0.42,0.69,1.44,0.41,0.32
-0.53,0.43,0.69,1.15,0.21,-0.2
-0.53,0.43,0.69,1.31,0.78,0.09
-0.54,0.43,0.68,0.92,1.36,1.02
-0.54,0.43,0.69,0.96,2.53,1.94
-0.53,0.43,0.69,0.6,3.4,2.56
-0.53,0.42,0.7,0.34,3.71,2.69
-0.53,0.43,0.68,0.79,3.33,2.56
-0.53,0.43,0.69,0.78,2.23,1.63
-0.53,0.43,0.68,1.59,0.12,0.27
-0.53,0.43,0.68,1.56,-1.27,0.2
-0.53,0.44,0.68,0.85,-1.53,0.76
-0.52,0.44,0.69,0.21,0.98,2.09
-0.52,0.43,0.69,-0.37,3.25,2.32
-0.53,0.43,0.69,0.17,3.83,2.34
-0.52,0.42,0.68,0.31,2.56,1.69
-0.52,0.43,0.68,0.73,1.11,1.18
-0.53,0.44,0.7,0.98,0.37,0.7
-0.53,0.44,0.69,0.67,1.19,0.89
-0.53,0.43,0.68,0.24,2.03,1.53
-0.53,0.43,0.68,0.14,3.16,1.82
-0.53,0.43,0.69,-0.2,3.59,2.03
-0.53,0.42,0.69,0.2,3.36,2.03
-0.54,0.42,0.69,0.69,2.95,1.73
-0.54,0.43,0.69,0.6,2.35,1.5
-0.54,0.43,0.69,0.38,1.79,0.96
-0.54,0.43,0.68,0.85,1.53,0.67
-0.53,0.43,0.68,1.01,2.24,1.15
-0.54,0.43,0.68,0.66,2.6,1.73
-0.53,0.43,0.67,0.46,3.74,2.12
-0.53,0.44,0.7,0.44,4.38,2.23
-0.53,0.43,0.69,0.75,4.32,2.21
-0.53,0.43,0.69,0.95,3.95,1.91
-0.52,0.43,0.68,0.95,3.54,1.68
-0.53,0.43,0.69,0.66,2.87,1.45
-0.54,0.43,0.68,0.81,2.56,1.42
-0.54,0.43,0.69,0.78,3.04,1.83
-0.54,0.44,0.68,0.81,3.33,1.8
-0.54,0.44,0.68,0.63,3.07,1.4
-0.53,0.43,0.68,0.67,2.5,1.3
-0.54,0.43,0.68,0.76,2.44,1.54
-0.54,0.42,0.68,1.05,2.93,1.77
-0.54,0.43,0.68,0.73,3.07,2.18
-0.54,0.44,0.69,0.89,3.11,1.88
-0.54,0.44,0.68,0.92,2.52,1.4
-0.54,0.43,0.68,0.89,1.91,1.25
-0.54,0.43,0.68,1.01,1.82,1.47
-0.54,0.43,0.68,0.64,1.97,1.66
-0.54,0.43,0.69,0.67,2.23,1.57
-0.54,0.43,0.68,0.78,1.97,1.65
-0.54,0.44,0.67,0.44,1.59,1.5
-0.54,0.43,0.68,0.02,1.45,1.5
-0.54,0.43,0.68,0.61,2.23,2.02
-0.54,0.43,0.67,0.79,3.48,2.73
-0.54,0.44,0.68,0.52,4.21,2.75
-0.53,0.43,0.67,0.52,4.2,2.82
