acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.58,0.4,0.67,-0.06,1.13,0.56
-0.58,0.4,0.67,-0.15,1.59,0.67
-0.58,0.4,0.68,-0.23,1.86,1.02
-0.58,0.39,0.67,-0.24,2.03,1.1
-0.58,0.39,0.67,-0.32,2.02,0.95
-0.58,0.39,0.68,-0.2,1.68,0.82
-0.59,0.39,0.68,0.08,1.11,0.64
-0.58,0.39,0.68,-0.24,1.19,0.75
-0.59,0.39,0.68,-0.05,1.74,0.93
-0.58,0.38,0.68,0.32,1.88,1.19
-0.58,0.39,0.67,0.18,2.05,1.39
-0.59,0.4,0.67,-0.08,1.89,1.34
-0.58,0.39,0.68,0.11,1.98,1.4
-0.59,0.39,0.68,0.32,2.03,1.22
-0.58,0.39,0.67,0.67,1.48,1.24
-0.59,0.39,0.67,0.63,1.25,1.31
-0.58,0.39,0.67,0.37,0.98,1.22
-0.59,0.39,0.68,0.03,1.18,1.16
-0.58,0.38,0.68,0.29,1.66,1.21
-0.58,0.38,0.67,0.34,2.53,1.3
-0.58,0.39,0.67,0.46,2.55,1.3
-0.59,0.39,0.67,0.63,2.24,1.07
-0.58,0.38,0.68,0.87,1.34,0.79
-0.59,0.39,0.67,1.44,1.33,0.72
-0.59,0.4,0.67,1.39,2.21,0.98
-0.59,0.4,0.67,0.72,3.63,1.86
-0.6,0.38,0.66,0.76,4.61,2.32
-0.59,0.38,0.67,0.7,3.66,1.85
-0.59,0.39,0.67,0.79,0.27,0.82
-0.6,0.4,0.67,2.9,-2.81,-0.09
-0.6,0.4,0.66,2.08,-3.02,1.19
-0.59,0.4,0.67,-0.38,1.83,4.81
-0.58,0.38,0.68,-1.98,9.33,6.81
-0.57,0.37,0.69,-2.02,12.17,5.88
-0.57,0.36,0.68,-0.75,8.02,2.79
-0.57,0.38,0.68,0.63,-0.05,-0.72
-0.58,0.4,0.66,1.18,-5.71,-2.63
-0.58,0.42,0.67,1.31,-5.42,-2.14
-0.59,0.42,0.66,0.24,-0.34,0.21
-0.6,0.41,0.66,-0.96,5.56,2.76
-0.6,0.4,0.67,-1.21,7.82,3.98
-0.59,0.38,0.67,-0.26,5.91,3.39
-0.6,0.38,0.66,0.58,2.32,1.8
-0.6,0.38,0.66,0.95,0.0,0.89
-0.59,0.38,0.67,0.73,0.34,0.92
-0.59,0.39,0.68,0.64,1.68,0.85
-0.6,0.4,0.67,1.15,2.23,0.95
-0.6,0.39,0.67,1.16,1.62,1.45
-0.59,0.39,0.66,0.98,1.53,1.95
-0.59,0.39,0.66,0.37,2.64,2.37
-0.59,0.39,0.67,0.15,4.14,2.84
-0.59,0.39,0.67,-0.23,4.09,2.78
-0.59,0.39,0.67,0.0,3.11,1.86
-0.58,0.4,0.67,0.08,1.37,0.47
-0.59,0.4,0.66,1.08,0.06,-0.89
-0.6,0.41,0.67,0.85,-1.44,-0.56
-0.59,0.4,0.66,0.4,-1.07,0.55
-0.59,0.4,0.67,-0.08,1.37,2.06
-0.59,0.39,0.66,-0.56,4.34,2.64
-0.58,0.38,0.66,-0.66,4.99,2.27
-0.59,0.38,0.67,-0.32,3.4,1.4
-0.59,0.39,0.67,0.03,0.56,0.84
-0.59,0.4,0.66,0.37,-0.46,0.56
-0.59,0.4,0.67,-0.29,0.35,1.3
-0.6,0.39,0.67,-0.32,2.27,2.23
-0.59,0.4,0.66,-0.72,4.12,3.3
-0.59,0.39,0.66,-0.92,4.26,3.37
-0.6,0.39,0.66,-0.82,3.42,3.27
-0.6,0.39,0.66,-0.78,2.08,2.23
-0.59,0.39,0.67,-0.44,1.04,1.45
-0.59,0.39,0.66,0.5,0.69,1.37
-0.59,0.4,0.66,0.72,2.17,1.74
-0.59,0.4,0.66,0.29,3.08,1.54
-0.59,0.39,0.66,0.26,3.4,1.42
-0.6,0.39,0.67,0.56,3.63,2.18
-0.59,0.4,0.66,1.02,5.05,3.54
-0.59,0.4,0.67,0.09,5.95,3.5
-0.59,0.39,0.67,0.7,5.57,2.73
-0.6,0.39,0.66,1.69,5.13,2.85
-0.59,0.39,0.66,2.37,5.5,3.66
-0.6,0.39,0.66,1.56,7.19,4.5
-0.6,0.39,0.67,1.28,8.55,4.63
-0.61,0.4,0.66,2.27,9.07,5.73
-0.6,0.39,0.67,2.85,9.08,6.6
-0.6,0.39,0.66,3.1,8.93,6.41
-0.61,0.4,0.66,3.02,7.54,5.13
-0.6,0.39,0.66,3.21,5.45,3.8
-0.6,0.4,0.65,3.04,3.68,2.92
-0.61,0.4,0.65,2.38,2.38,2.14
-0.61,0.39,0.64,1.71,1.48,0.63
-0.61,0.4,0.65,1.18,0.61,-0.03
-0.6,0.4,0.67,-0.29,0.23,1.77
-0.6,0.4,0.67,-0.79,-0.11,2.29
-0.6,0.4,0.65,0.56,-0.2,1.08
-0.6,0.39,0.65,-0.31,-2.44,-0.7
-0.61,0.4,0.65,-0.92,-4.81,-2.66
-0.6,0.4,0.65,-0.08,-4.03,-1.07
-0.59,0.4,0.64,-0.5,-1.53,1.36
-0.59,0.41,0.65,-0.72,0.5,1.86
-0.6,0.4,0.66,-0.79,0.46,1.02
-0.6,0.4,0.67,-0.47,-0.17,2.23
-0.6,0.4,0.66,-0.69,-0.49,3.47
-0.6,0.39,0.66,-0.37,-0.76,3.3
-0.59,0.4,0.66,-0.03,-0.95,5.36
-0.59,0.4,0.66,-2.05,-1.45,7.88
-0.59,0.39,0.65,-1.4,-2.26,7.82
-0.6,0.4,0.66,-0.79,-2.63,8.87
-0.6,0.41,0.66,0.02,-2.73,10.21
-0.6,0.4,0.67,-0.61,-2.08,11.42
-0.59,0.41,0.66,-0.46,-0.37,12.81
-0.59,0.4,0.64,0.55,1.59,14.37
-0.58,0.41,0.65,1.15,4.09,15.4
-0.57,0.41,0.65,-1.18,5.33,14.93
-0.58,0.4,0.67,-1.44,3.45,13.42
-0.59,0.39,0.66,0.32,0.52,9.63
-0.59,0.39,0.65,0.26,-1.74,6.63
-0.59,0.39,0.64,0.76,-2.44,4.53
-0.6,0.41,0.65,-1.71,-1.1,3.37
-0.6,0.42,0.65,-1.71,1.86,3.07
-0.59,0.42,0.66,-0.92,6.14,5.05
-0.58,0.43,0.67,1.73,8.5,5.88
-0.6,0.41,0.66,3.08,7.36,5.05
-0.6,0.41,0.64,1.36,3.44,3.63
-0.61,0.43,0.63,1.01,-0.44,2.84
-0.61,0.44,0.64,0.44,-2.87,4.26
-0.62,0.45,0.65,4.23,-1.85,4.78
-0.61,0.44,0.65,3.45,1.02,7.02
-0.58,0.42,0.66,0.64,4.43,8.5
-0.56,0.38,0.68,1.37,6.34,5.31
-0.57,0.37,0.65,3.11,4.08,1.36
-0.61,0.38,0.68,5.1,-0.96,0.21
-0.6,0.4,0.69,4.58,-4.52,2.7
-0.59,0.45,0.63,6.38,-0.5,6.4
-0.6,0.44,0.71,2.82,2.47,10.79
-0.55,0.44,0.72,7.02,5.07,12.08
-0.55,0.42,0.6,11.39,8.2,10.67
-0.54,0.41,0.55,5.89,8.12,10.38
-0.6,0.42,0.68,2.93,6.18,6.32
-0.57,0.43,0.69,7.24,7.13,7.42
-0.54,0.45,0.65,6.46,8.95,11.31
-0.52,0.46,0.55,0.67,11.45,12.61
-0.59,0.47,0.77,0.84,14.27,10.85
-0.53,0.4,0.62,10.78,20.9,16.06
-0.56,0.43,0.57,-2.27,20.08,14.34
