acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.59,0.31,0.7,0.55,0.47,1.82
-0.58,0.31,0.7,0.38,0.35,1.85
-0.59,0.31,0.71,0.44,0.18,1.51
-0.58,0.31,0.71,0.31,-0.37,1.45
-0.58,0.31,0.7,0.31,-0.05,1.24
-0.58,0.31,0.71,0.11,0.14,1.45
-0.59,0.31,0.7,0.0,0.52,1.3
-0.58,0.31,0.71,0.0,0.63,1.02
-0.59,0.31,0.71,-0.15,0.44,1.16
-0.59,0.3,0.71,0.0,0.26,1.3
-0.59,0.31,0.71,0.02,0.52,1.24
-0.58,0.31,0.71,0.14,0.76,1.19
-0.58,0.31,0.71,0.11,0.95,1.13
-0.58,0.31,0.71,0.4,0.92,1.04
-0.59,0.31,0.7,0.21,0.89,1.27
-0.59,0.3,0.71,0.17,1.07,1.45
-0.58,0.31,0.7,0.09,1.24,1.92
-0.59,0.32,0.71,0.23,1.57,1.97
-0.58,0.3,0.71,0.21,2.02,2.11
-0.59,0.31,0.71,0.12,2.24,1.89
-0.59,0.3,0.71,-0.02,2.0,1.77
-0.59,0.31,0.71,0.06,1.86,1.53
-0.58,0.31,0.71,0.11,1.88,1.63
-0.59,0.31,0.71,0.11,2.32,1.54
-0.58,0.31,0.7,0.05,2.43,1.24
-0.59,0.31,0.71,0.21,2.24,1.31
-0.58,0.32,0.7,0.34,2.44,1.19
-0.59,0.32,0.7,0.63,3.01,1.44
-0.59,0.31,0.71,0.76,4.18,1.95
-0.59,0.31,0.7,0.73,5.94,3.74
-0.59,0.31,0.69,1.13,8.81,5.8
-0.59,0.31,0.69,0.89,11.63,7.28
-0.6,0.31,0.68,0.52,11.08,7.5
-0.6,0.32,0.7,3.11,9.56,7.31
-0.6,0.32,0.7,2.96,6.76,6.44
-0.61,0.32,0.7,0.81,6.41,7.28
-0.6,0.3,0.7,-0.64,10.03,8.53
-0.59,0.29,0.7,-2.18,12.9,7.85
-0.59,0.29,0.71,-1.97,10.56,4.87
-0.59,0.29,0.7,0.6,5.82,2.61
-0.59,0.31,0.7,2.27,2.14,0.92
-0.58,0.33,0.7,1.79,0.46,0.03
-0.6,0.33,0.69,1.27,1.34,0.15
-0.59,0.35,0.7,0.26,3.34,1.37
-0.6,0.34,0.69,0.12,5.97,3.88
-0.6,0.31,0.7,-0.46,6.43,3.56
-0.61,0.31,0.7,0.35,4.5,1.77
-0.61,0.31,0.7,0.98,1.65,0.82
-0.61,0.31,0.7,0.63,-1.1,-0.34
-0.61,0.31,0.71,-0.23,-2.78,-1.62
-0.62,0.31,0.7,-0.9,-4.31,-3.36
-0.62,0.32,0.7,-1.39,-6.4,-5.18
-0.62,0.32,0.69,-1.02,-8.15,-5.28
-0.61,0.31,0.68,-0.81,-7.4,-3.18
-0.61,0.31,0.68,-0.7,-4.38,-1.07
-0.6,0.31,0.69,-2.03,-1.63,0.17
-0.61,0.32,0.69,-2.29,-1.59,0.17
-0.61,0.33,0.69,-2.79,-2.6,1.1
-0.61,0.31,0.69,-1.82,-4.93,-1.11
-0.62,0.31,0.69,0.55,-6.49,-2.76
-0.62,0.31,0.71,-1.48,-10.2,-3.39
-0.62,0.31,0.7,-1.89,-10.26,-0.69
-0.59,0.31,0.71,-2.82,-6.17,2.98
-0.58,0.31,0.72,-5.18,-2.12,4.43
-0.57,0.3,0.72,-4.73,-1.42,2.93
-0.56,0.3,0.7,-1.76,-3.63,1.19
-0.55,0.3,0.71,0.49,-5.27,1.82
-0.55,0.32,0.72,1.08,-2.73,3.69
-0.55,0.32,0.72,1.07,1.68,3.69
-0.55,0.33,0.71,0.15,5.59,5.59
-0.56,0.31,0.71,0.96,6.14,4.7
-0.58,0.31,0.71,2.72,5.19,3.82
-0.58,0.32,0.69,2.69,4.47,4.53
-0.58,0.32,0.71,1.02,6.02,6.31
-0.58,0.32,0.7,0.81,8.4,7.28
-0.55,0.32,0.71,0.41,11.51,13.1
-0.56,0.33,0.71,1.4,14.9,17.15
-0.6,0.33,0.7,1.74,16.82,16.85
-0.6,0.32,0.71,0.0,17.08,12.84
-0.62,0.32,0.69,-2.2,13.08,3.69
-0.64,0.3,0.69,-1.66,7.18,-4.18
